StimNo,StimNsamp,StartDeg,EndDeg,DegChange,NConvWin,NSampConvWin,Round_NSampConvWin,NSampLastWin,IsNSampWhole
1,38400,79,75,4,2,19200,19200,19200,1
2,38400,79,68,11,4,9600,9600,9600,1
3,38400,79,51,28,10,3840,3840,3840,1
4,38400,79,0,79,27,1422.22222222222,1423,1402,0
5,76800,79,75,4,2,38400,38400,38400,1
6,76800,79,68,11,4,19200,19200,19200,1
7,76800,79,51,28,10,7680,7680,7680,1
8,76800,79,0,79,27,2844.44444444444,2845,2830,0
9,115200,79,75,4,2,57600,57600,57600,1
10,115200,79,68,11,4,28800,28800,28800,1
11,115200,79,51,28,10,11520,11520,11520,1
12,115200,79,-0,79,27,4266.66666666667,4267,4258,0
13,153600,79,75,4,2,76800,76800,76800,1
14,153600,79,68,11,4,38400,38400,38400,1
15,153600,79,51,28,10,15360,15360,15360,1
16,153600,79,0,79,27,5688.88888888889,5689,5686,0
17,38400,68,51,17,6,6400,6400,6400,1
18,38400,68,0,68,23,1669.5652173913,1670,1660,0
19,38400,68,-51,119,40,960,960,960,1
20,38400,68,-68,136,46,834.782608695652,835,825,0
21,76800,68,51,17,6,12800,12800,12800,1
22,76800,68,0,68,23,3339.13043478261,3340,3320,0
23,76800,68,-51,119,40,1920,1920,1920,1
24,76800,68,-68,136,46,1669.5652173913,1670,1650,0
25,115200,68,51,17,6,19200,19200,19200,1
26,115200,68,0,68,23,5008.69565217391,5009,5002,0
27,115200,68,-51,119,40,2880,2880,2880,1
28,115200,68,-68,136,46,2504.34782608696,2505,2475,0
29,153600,68,51,17,6,25600,25600,25600,1
30,153600,68,0,68,23,6678.26086956522,6679,6662,0
31,153600,68,-51,119,40,3840,3840,3840,1
32,153600,68,-68,136,46,3339.13043478261,3340,3300,0
33,38400,-0,-51,51,18,2133.33333333333,2134,2122,0
34,38400,-0,-68,68,23,1669.5652173913,1670,1660,0
35,38400,-0,-75,75,26,1476.92307692308,1477,1475,0
36,38400,-0,-79,79,27,1422.22222222222,1423,1402,0
37,76800,-0,-51,51,18,4266.66666666667,4267,4261,0
38,76800,-0,-68,68,23,3339.13043478261,3340,3320,0
39,76800,-0,-75,75,26,2953.84615384615,2954,2950,0
40,76800,-0,-79,79,27,2844.44444444444,2845,2830,0
41,115200,-0,-51,51,18,6400,6400,6400,1
42,115200,-0,-68,68,23,5008.69565217391,5009,5002,0
43,115200,-0,-75,75,26,4430.76923076923,4431,4425,0
44,115200,-0,-79,79,27,4266.66666666667,4267,4258,0
45,153600,-0,-51,51,18,8533.33333333333,8534,8522,0
46,153600,-0,-68,68,23,6678.26086956522,6679,6662,0
47,153600,-0,-75,75,26,5907.69230769231,5908,5900,0
48,153600,-0,-79,79,27,5688.88888888889,5689,5686,0
