Subject,RunNo,ExpType,SeedUsed
600,1,1,383638
600,2,1,579709
600,2,1,678355
600,2,1,446186
600,3,2,524135
600,3,2,70126
600,3,2,449420
600,4,2,744759
201,1,1,628225
201,1,1,989328
200,1,1,91717
301,0,1,913862
301,0,1,883557
301,0,2,579590
301,1,1,299644
301,2,2,1037008
302,0,1,900205
302,0,2,780311
302,1,1,944577
302,2,2,874359
303,0,1,311258
303,0,2,932184
303,1,1,525790
201,0,1,867378
201,0,1,541630
201,0,2,615637
201,1,1,432052
201,2,1,787753
201,3,2,110521
201,4,2,704935
202,0,1,290145
202,0,2,452665
202,1,1,309885
202,2,2,1020013
202,3,1,979272
202,4,2,699326
203,0,1,849845
203,0,1,1007370
203,0,2,855686
203,1,2,59157
203,2,2,775537
203,3,1,1029837
203,4,1,49969
204,0,1,671092
204,0,2,175870
204,1,2,795819
204,1,2,429628
204,2,1,951726
204,3,2,372159
204,4,1,108678
205,0,1,1024794
205,0,2,795036
205,1,1,881862
205,2,1,852004
205,3,2,1019212
205,4,2,406379
206,0,1,829592
206,0,2,1029025
206,0,2,793920
206,1,1,640333
206,2,2,241362
206,3,1,100453
206,4,2,269590
207,0,1,497290
207,0,2,227467
207,1,2,112594
207,2,2,885573
207,3,1,899160
207,4,1,295637
208,0,1,340606
208,0,2,103019
208,1,2,36154
208,2,1,491475
208,3,2,210191
208,4,1,917013
208,4,1,598577
209,0,1,877249
209,0,2,498559
209,0,2,526785
209,1,1,450265
209,2,1,236824
209,3,2,192099
209,4,2,717072
210,0,1,1013208
210,0,2,989190
210,0,2,376723
210,0,2,103812
210,1,1,209309
210,2,2,865378
210,3,1,384632
210,4,2,387639
211,0,1,335445
211,0,2,787222
211,1,2,995074
211,2,2,1018254
211,3,1,202718
211,4,1,685150
212,0,1,726962
212,0,2,460028
212,1,2,259781
212,2,1,1021172
212,3,2,726641
212,4,1,97694
213,0,1,532213
213,0,2,311175
213,1,1,386199
213,2,1,720958
213,3,2,771059
213,4,2,281713
214,0,1,25767
214,0,2,229537
214,1,1,994502
214,2,2,938842
214,3,1,589472
214,4,2,904511
215,0,1,1013197
215,0,2,282317
215,0,2,150098
215,1,2,975386
215,2,2,398271
215,3,1,160719
215,4,1,896963
216,0,1,223799
216,0,2,963254
216,1,2,247454
216,2,1,726150
216,3,2,211168
216,4,1,542600
217,0,1,698527
217,0,2,719833
217,1,1,75380
217,2,1,892000
217,3,2,382561
217,4,2,11471
218,0,1,160247
218,0,2,914985
218,1,1,363007
218,2,2,418779
218,3,1,220161
218,3,1,114569
218,4,2,326062
219,0,1,79163
219,0,2,204911
219,1,2,35626
219,2,2,768862
219,3,1,441528
219,4,1,70330
